Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Book,['book'],['book']
cheap,['cheap'],['cheap']
"flights,",['flights'],['flight']
hotels,['hotels'],['hotel']
package,['package'],['packag']
holidays,['holidays'],['holiday']
Opodo,['opodo'],['opodo']
Flights,['flights'],['flight']
Hotels,['hotels'],['hotel']
Flight,['flight'],['flight']
Hotel,['hotel'],['hotel']
Car,['car'],['car']
rental,['rental'],['rental']
Shuttles,['shuttles'],['shuttl']
transfers,['transfers'],['transfer']
Holiday,['holiday'],['holiday']
rentals,['rentals'],['rental']
Manage,['manage'],['manag']
booking,['booking'],['book']
help?,['help'],['help']
Logging,['logging'],['log']
Welcome,['welcome'],['welcom']
"back,",['back'],['back']
Sending,['sending'],['send']
instructions,['instructions'],['instruct']
Log,['log'],['log']
Facebook,['facebook'],['facebook']
Google,['google'],['googl']
never,['never'],['never']
share,['share'],['share']
anything,['anything'],['anyth']
without,['without'],['without']
permission,['permission'],['permiss']
Email,['email'],['email']
booking,['booking'],['book']
details,['details'],['detail']
sent,['sent'],['sent']
email,['email'],['email']
address.,['address'],['address']
Password,['password'],['password']
Forgot,['forgot'],['forgot']
password?,['password'],['password']
Log,['log'],['log']
already,['already'],['alreadi']
account?,['account'],['account']
account,['account'],['account']
yet?,['yet'],['yet']
Sign,['sign'],['sign']
free,['free'],['free']
Reset,['reset'],['reset']
password,['password'],['password']
Enter,['enter'],['enter']
email,['email'],['email']
we'll,"[""'ll""]",['well']
send,['send'],['send']
instructions,['instructions'],['instruct']
recover,['recover'],['recov']
password:,['password'],['password']
Email,['email'],['email']
Send,['send'],['send']
instructions,['instructions'],['instruct']
email,['email'],['email']
sent,['sent'],['sent']
Follow,['follow'],['follow']
instructions,['instructions'],['instruct']
email,['email'],['email']
reset,['reset'],['reset']
password.,['password'],['password']
don't,"[""n't""]",['nt']
receive,['receive'],['receiv']
email,['email'],['email']
"inbox,",['inbox'],['inbox']
please,['please'],['pleas']
check,['check'],['check']
spam,['spam'],['spam']
folder.,['folder'],['folder']
sender,['sender'],['sender']
[email,['email'],['email']
protected],['protected'],['protect']
Return,['return'],['return']
Log,['log'],['log']
Please,['please'],['pleas']
enable,['enable'],['enabl']
JavaScript,['javascript'],['javascript']
order,['order'],['order']
site,['site'],['site']
work,['work'],['work']
"properly,",['properly'],['properli']
please,['please'],['pleas']
enable,['enable'],['enabl']
JavaScript,['javascript'],['javascript']
browser,['browser'],['browser']
settings.,['settings'],['set']
Load,['load'],['load']
deals,['deals'],['deal']
Manage,['manage'],['manag']
booking,['booking'],['book']
Change,['change'],['chang']
cancel,['cancel'],['cancel']
"booking,",['booking'],['book']
check,['check'],['check']
flight,['flight'],['flight']
status,['status'],['statu']
lots,['lots'],['lot']
Check,['check'],['check']
refund,['refund'],['refund']
status,['status'],['statu']
refund,['refund'],['refund']
request,['request'],['request']
progress?,['progress'],['progress']
Check,['check'],['check']
status,['status'],['statu']
Find,['find'],['find']
flight,['flight'],['flight']
offers,['offers'],['offer']
book,['book'],['book']
holidays,['holidays'],['holiday']
flight,['flight'],['flight']
combinations,['combinations'],['combin']
anyone,['anyone'],['anyon']
else,['else'],['els']
Free,['free'],['free']
rebooking,['rebooking'],['rebook']
many,['many'],['mani']
flights,['flights'],['flight']
Save,['save'],['save']
accommodation,['accommodation'],['accommod']
Compare,['compare'],['compar']
save,['save'],['save']
first,['first'],['first']
receive:Travel,"['receive', 'travel']",['receivetravel']
discountsVoucher,['discountsvoucher'],['discountsvouch']
codesExclusive,['codesexclusive'],['codesexclus']
deals,['deals'],['deal']
Sign,['sign'],['sign']
