Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
travel,['travel'],['travel']
agency:,['agency'],['agenc']
Book,['book'],['book']
cheap,['cheap'],['cheap']
flights,['flights'],['flight']
eDreams,['edreams'],['edream']
International,['international'],['intern']
Flights,['flights'],['flight']
Hotels,['hotels'],['hotel']
Flight,['flight'],['flight']
Hotel,['hotel'],['hotel']
Car,['car'],['car']
rental,['rental'],['rental']
Shuttles,['shuttles'],['shuttl']
transfers,['transfers'],['transfer']
Holiday,['holiday'],['holiday']
rentals,['rentals'],['rental']
Beach,['beach'],['beach']
holidays,['holidays'],['holiday']
Manage,['manage'],['manag']
booking,['booking'],['book']
help?,['help'],['help']
Logging,['logging'],['log']
Welcome,['welcome'],['welcom']
"back,",['back'],['back']
Sending,['sending'],['send']
instructions,['instructions'],['instruct']
Log,['log'],['log']
Facebook,['facebook'],['facebook']
Google,['google'],['googl']
never,['never'],['never']
share,['share'],['share']
anything,['anything'],['anyth']
without,['without'],['without']
permission,['permission'],['permiss']
Email,['email'],['email']
booking,['booking'],['book']
details,['details'],['detail']
sent,['sent'],['sent']
email,['email'],['email']
address.,['address'],['address']
Password,['password'],['password']
Forgot,['forgot'],['forgot']
password?,['password'],['password']
Log,['log'],['log']
already,['already'],['alreadi']
account?,['account'],['account']
account,['account'],['account']
yet?,['yet'],['yet']
Sign,['sign'],['sign']
free,['free'],['free']
Reset,['reset'],['reset']
password,['password'],['password']
Enter,['enter'],['enter']
email,['email'],['email']
we'll,"[""'ll""]",['well']
send,['send'],['send']
instructions,['instructions'],['instruct']
recover,['recover'],['recov']
password:,['password'],['password']
Email,['email'],['email']
Send,['send'],['send']
instructions,['instructions'],['instruct']
email,['email'],['email']
sent,['sent'],['sent']
Follow,['follow'],['follow']
instructions,['instructions'],['instruct']
email,['email'],['email']
reset,['reset'],['reset']
password.,['password'],['password']
don't,"[""n't""]",['nt']
receive,['receive'],['receiv']
email,['email'],['email']
"inbox,",['inbox'],['inbox']
please,['please'],['pleas']
check,['check'],['check']
spam,['spam'],['spam']
folder.,['folder'],['folder']
sender,['sender'],['sender']
[email,['email'],['email']
protected],['protected'],['protect']
Return,['return'],['return']
Log,['log'],['log']
Please,['please'],['pleas']
enable,['enable'],['enabl']
JavaScript,['javascript'],['javascript']
order,['order'],['order']
site,['site'],['site']
work,['work'],['work']
"properly,",['properly'],['properli']
please,['please'],['pleas']
enable,['enable'],['enabl']
JavaScript,['javascript'],['javascript']
browser,['browser'],['browser']
settings.,['settings'],['set']
Load,['load'],['load']
deals,['deals'],['deal']
Manage,['manage'],['manag']
booking,['booking'],['book']
Change,['change'],['chang']
cancel,['cancel'],['cancel']
"booking,",['booking'],['book']
check,['check'],['check']
flight,['flight'],['flight']
status,['status'],['statu']
lots,['lots'],['lot']
Check,['check'],['check']
refund,['refund'],['refund']
status,['status'],['statu']
refund,['refund'],['refund']
currently,['currently'],['current']
progress?,['progress'],['progress']
check,['check'],['check']
status,['status'],['statu']
Book,['book'],['book']
holidays,['holidays'],['holiday']
find,['find'],['find']
travel,['travel'],['travel']
offers,['offers'],['offer']
flight,['flight'],['flight']
combinations,['combinations'],['combin']
anyone,['anyone'],['anyon']
else,['else'],['els']
Free,['free'],['free']
rebooking,['rebooking'],['rebook']
many,['many'],['mani']
flights,['flights'],['flight']
Save,['save'],['save']
accommodation,['accommodation'],['accommod']
Search.,['search'],['search']
Book.,['book'],['book']
Travel.,['travel'],['travel']
first,['first'],['first']
receive:Travel,"['receive', 'travel']",['receivetravel']
discountsVoucher,['discountsvoucher'],['discountsvouch']
codesExclusive,['codesexclusive'],['codesexclus']
deals,['deals'],['deal']
Sign,['sign'],['sign']
signed,['signed'],['sign']
up!Watch,['watch'],['upwatch']
inbox,['inbox'],['inbox']
amazing,['amazing'],['amaz']
deals!,['deals'],['deal']
ç,['ç'],['ç']
Flights,['flights'],['flight']
W,['w'],['w']
Traveller's,"['traveller', ""'s""]",['travel']
Guide,['guide'],['guid']
best,['best'],['best']
flight,['flight'],['flight']
deals!,['deals'],['deal']
Rent,['rent'],['rent']
car,['car'],['car']
free,['free'],['free']
cancellation,['cancellation'],['cancel']
Book,['book'],['book']
Book,['book'],['book']
hotel,['hotel'],['hotel']
free,['free'],['free']
cancellation,['cancellation'],['cancel']
Book,['book'],['book']
Plan,['plan'],['plan']
ideal,['ideal'],['ideal']
holiday,['holiday'],['holiday']
London,['london'],['london']
