Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Book,['book'],['book']
Hotels,['hotels'],['hotel']
Accommodations,['accommodations'],['accommod']
Worldwide,['worldwide'],['worldwid']
Great,['great'],['great']
Deals,['deals'],['deal']
Trip.comHotelsFlightsTrainsCarsCar,['trip.comhotelsflightstrainscarscar'],['tripcomhotelsflightstrainscarscar']
RentalsAirport,['rentalsairport'],['rentalsairport']
TransfersAttractions,['transfersattractions'],['transfersattract']
ToursBundle,['toursbundle'],['toursbundl']
SaveCruisesCustom,['savecruisescustom'],['savecruisescustom']
TripsDestinationsTrip.com,['tripsdestinationstrip.com'],['tripsdestinationstripcom']
RewardsDealsList,['rewardsdealslist'],['rewardsdealslist']
PropertyAppHelpUSDSearch,['propertyapphelpusdsearch'],['propertyapphelpusdsearch']
"BookingsHotelsDestinationCity,",['bookingshotelsdestinationcity'],['bookingshotelsdestinationc']
"airport,",['airport'],['airport']
"region,",['region'],['region']
landmark,['landmark'],['landmark']
property,['property'],['properti']
nightsCheck-outRooms,['nightscheck-outrooms'],['nightscheckoutroom']
"room,",['room'],['room']
"adults,",['adults'],['adult']
childrenSearchFAQHow,['childrensearchfaqhow'],['childrensearchfaqhow']
book,['book'],['book']
hotel,['hotel'],['hotel']
Trip.com?How,['trip.com'],['tripcomhow']
get,['get'],['get']
hotel,['hotel'],['hotel']
deals,['deals'],['deal']
Trip.com?Where,['trip.com'],['tripcomwher']
find,['find'],['find']
hotel,['hotel'],['hotel']
deals,['deals'],['deal']
Trip.com?How,['trip.com'],['tripcomhow']
get,['get'],['get']
lower,['lower'],['lower']
prices,['prices'],['price']
hotels?How,['hotels'],['hotelshow']
many,['many'],['mani']
hotels,['hotels'],['hotel']
listed,['listed'],['list']
Trip.com?Can,['trip.com'],['tripcomcan']
cancel,['cancel'],['cancel']
change,['change'],['chang']
hotel,['hotel'],['hotel']
bookings,['bookings'],['book']
Trip.com?How,['trip.com'],['tripcomhow']
contact,['contact'],['contact']
Trip.com's,"['trip.com', ""'s""]",['tripcom']
customer,['customer'],['custom']
support?Hotel,"['support', 'hotel']",['supporthotel']
InfoNumber,['infonumber'],['infonumb']
Trip.comHotels,['trip.comhotels'],['tripcomhotel']
Suit,['suit'],['suit']
EveryoneWe,['everyonewe'],['everyonew']
know,['know'],['know']
hotel,['hotel'],['hotel']
make,['make'],['make']
break,['break'],['break']
"holiday,",['holiday'],['holiday']
"Trip.com,",['trip.com'],['tripcom']
find,['find'],['find']
hotels,['hotels'],['hotel']
tick,['tick'],['tick']
every,['every'],['everi']
box.,['box'],['box']
choice,['choice'],['choic']
hotels,['hotels'],['hotel']
countries,['countries'],['countri']
regions,['regions'],['region']
across,['across'],['across']
"world,",['world'],['world']
whether,['whether'],['whether']
jetting,['jetting'],['jet']
far,['far'],['far']
staying,['staying'],['stay']
closer,['closer'],['closer']
"home,",['home'],['home']
finding,['finding'],['find']
accommodation,['accommodation'],['accommod']
never,['never'],['never']
easier.,['easier'],['easier']
hotels,['hotels'],['hotel']
"hostels,",['hostels'],['hostel']
holiday,['holiday'],['holiday']
"homes,",['homes'],['home']
"cottages,",['cottages'],['cottag']
B&Bs,"['b', 'bs']",['bb']
self-catered,['self-catered'],['selfcat']
catered,['catered'],['cater']
"apartments,",['apartments'],['apart']
accommodation,['accommodation'],['accommod']
available,['available'],['avail']
everyone,['everyone'],['everyon']
Trip.com.,['trip.com'],['tripcom']
Whether,['whether'],['whether']
looking,['looking'],['look']
"low-cost,",['low-cost'],['lowcost']
luxury,['luxury'],['luxuri']
something,['something'],['someth']
"middle,",['middle'],['middl']
