Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
KAYAK,['kayak'],['kayak']
Business:,['business'],['busi']
corporate,['corporate'],['corpor']
travel,['travel'],['travel']
management,['management'],['manag']
powered,['powered'],['power']
KAYAK,['kayak'],['kayak']
Skip,['skip'],['skip']
main,['main'],['main']
content,['content'],['content']
Sign,['sign'],['sign']
inFlightsStaysCarsPackagesAsk,['inflightsstayscarspackagesask'],['inflightsstayscarspackagesask']
KAYAKBETAExploreFlight,['kayakbetaexploreflight'],['kayakbetaexploreflight']
TrackerTravel,['trackertravel'],['trackertravel']
tipsBest,['tipsbest'],['tipsbest']
Time,['time'],['time']
TravelKAYAK,['travelkayak'],['travelkayak']
BusinessNEWPrivacy,['businessnewprivacy'],['businessnewprivaci']
PreferencesTripsEnglishArgentinaAustraliaBelgiëFRNLBoliviaBrasilCanadaENFRChile中国ColombiaCosta,['preferencestripsenglishargentinaaustraliabelgiëfrnlboliviabrasilcanadaenfrchile中国colombiacosta'],['preferencestripsenglishargentinaaustraliabelgiëfrnlboliviabrasilcanadaenfrchile中国colombiacosta']
RicaDanmarkDeutschlandDEENEcuadorEl,['ricadanmarkdeutschlanddeenecuadorel'],['ricadanmarkdeutschlanddeenecuadorel']
SalvadorEspañaESCAFranceΕλλάδαGuatemalaHonduras香港EN繁IndiaIndonesiaIDENIrelandIsraelENHEItalia日本MalaysiaENBMMéxicoNederlandNew,['salvadorespañaescafranceελλάδαguatemalahonduras香港en繁indiaindonesiaidenirelandisraelenheitalia日本malaysiaenbmméxiconederlandnew'],['salvadorespañaescafranceελλάδαguatemalahonduras香港en繁indiaindonesiaidenirelandisraelenheitalia日本malaysiaenbmméxiconederlandnew']
ZealandNicaraguaNorgePanamáParaguayPerúPhilippinesPolskaPortugalPuerto,['zealandnicaraguanorgepanamáparaguayperúphilippinespolskaportugalpuerto'],['zealandnicaraguanorgepanamáparaguayperúphilippinespolskaportugalpuerto']
RicoRepública,['ricorepública'],['ricorepública']
DominicanaRomâniaSchweizFRDESingaporeEN简South,['dominicanaromâniaschweizfrdesingaporeen简south'],['dominicanaromâniaschweizfrdesingaporeen简south']
Africa대한민국SuomiSverige台灣TürkiyeUnited,['africa대한민국suomisverige台灣türkiyeunited'],['africa대한민국suomisverige台灣türkiyeunit']
Arab,['arab'],['arab']
EmiratesUnited,['emiratesunited'],['emiratesunit']
KingdomUnited,['kingdomunited'],['kingdomunit']
StatesENESUruguayVenezuelaViệt,['statesenesuruguayvenezuelaviệt'],['statesenesuruguayvenezuelaviêt']
