Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Google,['google'],['googl']
Hotel,['hotel'],['hotel']
SearchSkip,['searchskip'],['searchskip']
main,['main'],['main']
contentAccessibility,['contentaccessibility'],['contentaccess']
feedbackChange,['feedbackchange'],['feedbackchang']
appearanceSign,['appearancesign'],['appearancesign']
inTravelExploreFlightsHotelsVacation,['intravelexploreflightshotelsvacation'],['intravelexploreflightshotelsvac']
rentalsTravelExploreFlightsHotelsVacation,['rentalstravelexploreflightshotelsvacation'],['rentalstravelexploreflightshotelsvac']
rentalsTracked,['rentalstracked'],['rentalstrack']
flight,['flight'],['flight']
pricesChange,['priceschange'],['priceschang']
languageChange,['languagechange'],['languagechang']
currencyChange,['currencychange'],['currencychang']
locationReport,['locationreport'],['locationreport']
Illegal,['illegal'],['illeg']
ContentFeedbackHelpEnter,['contentfeedbackhelpenter'],['contentfeedbackhelpent']
date,['date'],['date']
use,['use'],['use']
arrow,['arrow'],['arrow']
keys,['keys'],['key']
change,['change'],['chang']
current,['current'],['current']
travelerCancelDoneHotelsVacation,['travelercanceldonehotelsvacation'],['travelercanceldonehotelsvac']
rentalsAll,['rentalsall'],['rentalsal']
filtersPriceProperty,['filterspriceproperty'],['filterspriceproperti']
typeRoomsGuest,['typeroomsguest'],['typeroomsguest']
ratingAmenitiesSort,['ratingamenitiessort'],['ratingamenitiessort']
byWhere,['bywhere'],['bywher']
stayWhen,['staywhen'],['staywhen']
visitWhat,['visitwhat'],['visitwhat']
payPrices,['payprices'],['paypric']
reflect,['reflect'],['reflect']
applied,['applied'],['appli']
resultsAbout,['resultsabout'],['resultsabout']
resultsClose,['resultsclose'],['resultsclos']
dialogAbout,['dialogabout'],['dialogabout']
resultsBy,['resultsby'],['resultsbi']
"default,",['default'],['default']
results,['results'],['result']
sorted,['sorted'],['sort']
relevance.,['relevance'],['relev']
Dozens,['dozens'],['dozen']
factors,['factors'],['factor']
considered,['considered'],['consid']
among,['among'],['among']
main,['main'],['main']
parameters,['parameters'],['paramet']
search,['search'],['search']
"terms,",['terms'],['term']
hotel,['hotel'],['hotel']
vacation,['vacation'],['vacat']
rental,['rental'],['rental']
"location,",['location'],['locat']
"price,",['price'],['price']
guest,['guest'],['guest']
"ratings,",['ratings'],['rate']
guest,['guest'],['guest']
reviews.,['reviews'],['review']
Results,['results'],['result']
also,['also'],['also']
personalised,['personalised'],['personalis']
based,['based'],['base']
search,['search'],['search']
activity,['activity'],['activ']
Google,['google'],['googl']
travel,['travel'],['travel']
confirmations,['confirmations'],['confirm']
sent,['sent'],['sent']
Gmail.Hotels,['gmail.hotels'],['gmailhotel']
vacation,['vacation'],['vacat']
rentals,['rentals'],['rental']
pay,['pay'],['pay']
Google,['google'],['googl']
appear,['appear'],['appear']
search,['search'],['search']
results.,['results'],['result']
"However,",['however'],['howev']
might,['might'],['might']
see,['see'],['see']
one,['one'],['one']
paid,['paid'],['paid']
ads,['ads'],['ad']
labelled,['labelled'],['label']
"""Sponsored""","['``', 'sponsored', ""''""]",['sponsor']
badge.,['badge'],['badg']
selected,['selected'],['select']
ranked,['ranked'],['rank']
auction,['auction'],['auction']
based,['based'],['base']
bid,['bid'],['bid']
ad,['ad'],['ad']
quality.,['quality'],['qualiti']
Learn,['learn'],['learn']
moreTo,['moreto'],['moreto']
select,['select'],['select']
"results,",['results'],['result']
Google,['google'],['googl']
considered,['considered'],['consid']
hotels,['hotels'],['hotel']
vacation,['vacation'],['vacat']
rentals,['rentals'],['rental']
knowledge,['knowledge'],['knowledg']
Results,['results'],['result']
may,['may'],['may']
reflect,['reflect'],['reflect']
available,['available'],['avail']
hotels,['hotels'],['hotel']
vacation,['vacation'],['vacat']
rentals.All,['rentals.all'],['rentalsal']
vacation,['vacation'],['vacat']
rental,['rental'],['rental']
reviews,['reviews'],['review']
hotel,['hotel'],['hotel']
reviews,['reviews'],['review']
come,['come'],['come']
third-party,['third-party'],['thirdparti']
travel,['travel'],['travel']
sites.,['sites'],['site']
Vacation,['vacation'],['vacat']
rental,['rental'],['rental']
reviews,['reviews'],['review']
shown,['shown'],['shown']
combined,['combined'],['combin']
ratings,['ratings'],['rate']
linked,['linked'],['link']
third-party,['third-party'],['thirdparti']
reviews.,['reviews'],['review']
Reviews,['reviews'],['review']
aren't,"[""n't""]",['nt']
verified,['verified'],['verifi']
"Google,",['google'],['googl']
Google,['google'],['googl']
checks,['checks'],['check']
removes,['removes'],['remov']
fake,['fake'],['fake']
content,['content'],['content']
identified,['identified'],['identifi']
Google,['google'],['googl']
reviews.,['reviews'],['review']
see,['see'],['see']
review,['review'],['review']
policies,['policies'],['polici']
third-party,['third-party'],['thirdparti']
travel,['travel'],['travel']
"sites,",['sites'],['site']
visit,['visit'],['visit']
sites.Beautiful,['sites.beautiful'],['sitesbeauti']
lodge,['lodge'],['lodg']
almost,['almost'],['almost']
directly,['directly'],['directli']
lake,['lake'],['lake']
beachAvg,['beachavg'],['beachavg']
nightlywith,['nightlywith'],['nightlywith']
taxes,['taxes'],['tax']
feesAvg,['feesavg'],['feesavg']
Jul,['jul'],['jul']
Beautiful,['beautiful'],['beauti']
lodge,['lodge'],['lodg']
almost,['almost'],['almost']
directly,['directly'],['directli']
lake,['lake'],['lake']
beach:,['beach'],['beach']
"Cottage,",['cottage'],['cottag']
Sleeps,['sleeps'],['sleep']
"bedrooms,",['bedrooms'],['bedroom']
"bathroom,",['bathroom'],['bathroom']
"beds,",['beds'],['bed']
sq,['sq'],['sq']
"Heating,",['heating'],['heat']
"Kitchen,",['kitchen'],['kitchen']
"Microwave,",['microwave'],['microwav']
CottageSleeps,['cottagesleeps'],['cottagesleep']
sq,['sq'],['sq']
mHeatingKitchenMicrowaveView,['mheatingkitchenmicrowaveview'],['mheatingkitchenmicrowaveview']
detailsAvg,['detailsavg'],['detailsavg']
nightlywith,['nightlywith'],['nightlywith']
taxes,['taxes'],['tax']
feesAvg,['feesavg'],['feesavg']
Jul,['jul'],['jul']
Friendly,['friendly'],['friendli']
Waterfront,['waterfront'],['waterfront']
Chalet,['chalet'],['chalet']
Swimming,['swimming'],['swim']
LadderAvg,['ladderavg'],['ladderavg']
nightlywith,['nightlywith'],['nightlywith']
taxes,['taxes'],['tax']
feesAvg,['feesavg'],['feesavg']
Pet,['pet'],['pet']
Friendly,['friendly'],['friendli']
Waterfront,['waterfront'],['waterfront']
Chalet,['chalet'],['chalet']
Swimming,['swimming'],['swim']
Ladder:,['ladder'],['ladder']
"Chalet,",['chalet'],['chalet']
Sleeps,['sleeps'],['sleep']
"bedrooms,",['bedrooms'],['bedroom']
