Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Find,['find'],['find']
Cheap,['cheap'],['cheap']
Car,['car'],['car']
Rental,['rental'],['rental']
Deals,['deals'],['deal']
Discount,['discount'],['discount']
Car,['car'],['car']
Rental,['rental'],['rental']
Rates,['rates'],['rate']
HotwireHotelsCarsFlightsVacationsGet,['hotwirehotelscarsflightsvacationsget'],['hotwirehotelscarsflightsvacationsget']
appSupportFeedbackHelp,['appsupportfeedbackhelp'],['appsupportfeedbackhelp']
CenterMy,['centermy'],['centermi']
AccountSave,['accountsave'],['accountsav']
car,['car'],['car']
rentals*Hit,"['rentals', 'hit']",['rentalshit']
roadPick-up,['roadpick-up'],['roadpickup']
locationPick-up,['locationpick-up'],['locationpickup']
locationSame,['locationsame'],['locationsam']
pick-up,['pick-up'],['pickup']
locationSame,['locationsame'],['locationsam']
pick-up,['pick-up'],['pickup']
locationPick-up,['locationpick-up'],['locationpickup']
dateDrop-off,['datedrop-off'],['datedropoff']
datePick-up,['datepick-up'],['datepickup']
pmPick-up,['pmpick-up'],['pmpickup']
timeDrop-off,['timedrop-off'],['timedropoff']
pmDrop-off,['pmdrop-off'],['pmdropoff']
timeFind,['timefind'],['timefind']
car,['car'],['car']
Book,['book'],['book']
cheap,['cheap'],['cheap']
car,['car'],['car']
rental,['rental'],['rental']
deal,['deal'],['deal']
Hotwire,['hotwire'],['hotwir']
Booking,['booking'],['book']
Hotwire,['hotwire'],['hotwir']
means,['means'],['mean']
getting,['getting'],['get']
car,['car'],['car']
rental,['rental'],['rental']
match,['match'],['match']
travel,['travel'],['travel']
style.,['style'],['style']
Show,['show'],['show']
stylish,['stylish'],['stylish']
drop-top,['drop-top'],['droptop']
convertible,['convertible'],['convert']
rental,['rental'],['rental']
cruising,['cruising'],['cruis']
city,['city'],['citi']
streets.,['streets'],['street']
Whether,['whether'],['whether']
traveling,['traveling'],['travel']
business,['business'],['busi']
luxurious,['luxurious'],['luxuri']
"leisure,",['leisure'],['leisur']
Hotwire,['hotwire'],['hotwir']
"posh,",['posh'],['posh']
sleek,['sleek'],['sleek']
car,['car'],['car']
rental,['rental'],['rental']
match,['match'],['match']
vacation,['vacation'],['vacat']
aesthetic.,['aesthetic'],['aesthet']
tour,['tour'],['tour']
town,['town'],['town']
"type,",['type'],['type']
opt,['opt'],['opt']
compact,['compact'],['compact']
car,['car'],['car']
rental,['rental'],['rental']
everything,['everything'],['everyth']
need,['need'],['need']
traveling,['traveling'],['travel']
destination,['destination'],['destin']
attraction,['attraction'],['attract']
style.,['style'],['style']
Rent,['rent'],['rent']
car,['car'],['car']
Hotwire,['hotwire'],['hotwir']
save,['save'],['save']
rental,['rental'],['rental']
car,['car'],['car']
reservation.,['reservation'],['reserv']
Hotwire,['hotwire'],['hotwir']
works,['works'],['work']
top,['top'],['top']
brand-name,['brand-name'],['brandnam']
rental,['rental'],['rental']
agencies,['agencies'],['agenc']
like,['like'],['like']
"Hertz,",['hertz'],['hertz']
"Enterprise,",['enterprise'],['enterpris']
Avis,['avis'],['avi']
help,['help'],['help']
find,['find'],['find']
perfect,['perfect'],['perfect']
car,['car'],['car']
rental,['rental'],['rental']
trip.,['trip'],['trip']
Need,['need'],['need']
pick,['pick'],['pick']
rental,['rental'],['rental']
airport?,['airport'],['airport']
problem.,['problem'],['problem']
"Hotwire,",['hotwire'],['hotwir']
choose,['choose'],['choos']
variety,['variety'],['varieti']
car,['car'],['car']
sizes,['sizes'],['size']
types,['types'],['type']
conveniently,['conveniently'],['conveni']
pick-up,['pick-up'],['pickup']
drop-off,['drop-off'],['dropoff']
airport,['airport'],['airport']
around,['around'],['around']
town.,['town'],['town']
Hotwire,['hotwire'],['hotwir']
makes,['makes'],['make']
car,['car'],['car']
rentals,['rentals'],['rental']
easy.,['easy'],['easi']
need,['need'],['need']
rent,['rent'],['rent']
car,['car'],['car']
lower,['lower'],['lower']
fuel,['fuel'],['fuel']
"costs,",['costs'],['cost']
Hotwire,['hotwire'],['hotwir']
offers,['offers'],['offer']
Hot,['hot'],['hot']
Rate,['rate'],['rate']
economy,['economy'],['economi']
car,['car'],['car']
rentals,['rentals'],['rental']
cheap.,['cheap'],['cheap']
Round,['round'],['round']
trip,['trip'],['trip']
"one-way,",['one-way'],['oneway']
luxury,['luxury'],['luxuri']
cheap,['cheap'],['cheap']
car,['car'],['car']
"rentals,",['rentals'],['rental']
Hotwire,['hotwire'],['hotwir']
ride—no,['ride—no'],['rideno']
matter,['matter'],['matter']
Need,['need'],['need']
quick,['quick'],['quick']
last-minute,['last-minute'],['lastminut']
car,['car'],['car']
rental?,['rental'],['rental']
Even,['even'],['even']
better.,['better'],['better']
Hotwire,['hotwire'],['hotwir']
Hot,['hot'],['hot']
"Rates,",['rates'],['rate']
save,['save'],['save']
last-minute,['last-minute'],['lastminut']
car,['car'],['car']
rental.,['rental'],['rental']
Simply,['simply'],['simpli']
download,['download'],['download']
Hotwire,['hotwire'],['hotwir']
"app,",['app'],['app']
fill,['fill'],['fill']
search,['search'],['search']
criteria,['criteria'],['criteria']
let,['let'],['let']
Hotwire,['hotwire'],['hotwir']
picking,['picking'],['pick']
based,['based'],['base']
preferences.,['preferences'],['prefer']
"Ah,",['ah'],['ah']
spontaneity,['spontaneity'],['spontan']
quite,['quite'],['quit']
exciting.,['exciting'],['excit']
"course,",['course'],['cours']
prefer,['prefer'],['prefer']
stay,['stay'],['stay']
control,['control'],['control']
exact,['exact'],['exact']
affordable,['affordable'],['afford']
car,['car'],['car']
rental,['rental'],['rental']
"book,",['book'],['book']
need,['need'],['need']
book,['book'],['book']
advance.,['advance'],['advanc']
Whether,['whether'],['whether']
choose,['choose'],['choos']
plan,['plan'],['plan']
ahead,['ahead'],['ahead']
leave,['leave'],['leav']
fate,['fate'],['fate']
car,['car'],['car']
rental,['rental'],['rental']
type,['type'],['type']
"Hotwire,",['hotwire'],['hotwir']
sure,['sure'],['sure']
save,['save'],['save']
money,['money'],['money']
killer,['killer'],['killer']
car,['car'],['car']
rental,['rental'],['rental']
deal.,['deal'],['deal']
waiting,['waiting'],['wait']
Download,['download'],['download']
Hotwire,['hotwire'],['hotwir']
app,['app'],['app']
start,['start'],['start']
browsing.,['browsing'],['brows']
Adventure,['adventure'],['adventur']
awaits!,['awaits'],['await']
Today's,"['today', ""'s""]",['today']
Top,['top'],['top']
Car,['car'],['car']
Rentals,['rentals'],['rental']
DealsToday's,"['dealstoday', ""'s""]",['dealstoday']
top,['top'],['top']
dealSpecial,['dealspecial'],['dealspeci']
CarCompact,['carcompact'],['carcompact']
larger,['larger'],['larger']
priced,['priced'],['price']
like,['like'],['like']
compact,['compact'],['compact']
people,['people'],['peopl']
offPrice,['offprice'],['offpric']
per,['per'],['per']
day,['day'],['day']
per,['per'],['per']
day,['day'],['day']
Special,['special'],['special']
Car,['car'],['car']
Compact,['compact'],['compact']
larger,['larger'],['larger']
priced,['priced'],['price']
like,['like'],['like']
compact,['compact'],['compact']
similarCompactHyundai,['similarcompacthyundai'],['similarcompacthyundai']
Accent,['accent'],['accent']
people,['people'],['peopl']
offPrice,['offprice'],['offpric']
per,['per'],['per']
day,['day'],['day']
per,['per'],['per']
day,['day'],['day']
Compact,['compact'],['compact']
Hyundai,['hyundai'],['hyundai']
Accent,['accent'],['accent']
similarEconomyKia,['similareconomykia'],['similareconomykia']
Rio,['rio'],['rio']
people,['people'],['peopl']
offPrice,['offprice'],['offpric']
per,['per'],['per']
day,['day'],['day']
per,['per'],['per']
day,['day'],['day']
Economy,['economy'],['economi']
Kia,['kia'],['kia']
