Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Cheap,['cheap'],['cheap']
Flights,['flights'],['flight']
Search,['search'],['search']
Compare,['compare'],['compar']
Flights,['flights'],['flight']
momondo,['momondo'],['momondo']
Sign,['sign'],['sign']
inFlightsStaysCar,['inflightsstayscar'],['inflightsstayscar']
RentalPackagesExplorePrivacy,['rentalpackagesexploreprivacy'],['rentalpackagesexploreprivaci']
PreferencesTripsEnglishAustraliaBelgiëFRNLBrasilCanadaENFRČeská,['preferencestripsenglishaustraliabelgiëfrnlbrasilcanadaenfrčeská'],['preferencestripsenglishaustraliabelgiëfrnlbrasilcanadaenfrčeská']
republikaChileColombiaDanmarkDeutschlandEestiEspañaFranceIndiaIrelandItaliaMéxicoNederlandNorgeÖsterreichPerúPolskaPortugalRomâniaSchweizFRDEITSouth,['republikachilecolombiadanmarkdeutschlandeestiespañafranceindiairelanditaliaméxiconederlandnorgeösterreichperúpolskaportugalromâniaschweizfrdeitsouth'],['republikachilecolombiadanmarkdeutschlandeestiespañafranceindiairelanditaliaméxiconederlandnorgeösterreichperúpolskaportugalromâniaschweizfrdeitsouth']
AfricaSuomiSverigeTürkiyeUnited,['africasuomisverigetürkiyeunited'],['africasuomisverigetürkiyeunit']
KingdomUnited,['kingdomunited'],['kingdomunit']
StatesENESUruguayУкраїнаUKRU,['statesenesuruguayукраїнаukru'],['statesenesuruguayукраїнаukru']
Find,['find'],['find']
compare,['compare'],['compar']
cheap,['cheap'],['cheap']
flights,['flights'],['flight']
bagsTue,['bagstue'],['bagstu']
Trending,['trending'],['trend']
cities,['cities'],['citi']
searched,['searched'],['search']
cities,['cities'],['citi']
momondo,['momondo'],['momondo']
FLIGHTS,['flights'],['flight']
Madrid,['madrid'],['madrid']
FLIGHTS,['flights'],['flight']
Chicago,['chicago'],['chicago']
FLIGHTS,['flights'],['flight']
Lisbon,['lisbon'],['lisbon']
FLIGHTS,['flights'],['flight']
San,['san'],['san']
Francisco,['francisco'],['francisco']
FLIGHTS,['flights'],['flight']
Dubai,['dubai'],['dubai']
FLIGHTS,['flights'],['flight']
Amsterdam,['amsterdam'],['amsterdam']
FLIGHTS,['flights'],['flight']
Cancún,['cancún'],['cancún']
FLIGHTS,['flights'],['flight']
"Washington,",['washington'],['washington']
D.C.,['d.c'],['dc']
FLIGHTS,['flights'],['flight']
New,['new'],['new']
Delhi,['delhi'],['delhi']
Trending,['trending'],['trend']
countries,['countries'],['countri']
searched,['searched'],['search']
countries,['countries'],['countri']
momondo,['momondo'],['momondo']
FLIGHTS,['flights'],['flight']
Spain,['spain'],['spain']
FLIGHTS,['flights'],['flight']
Italy,['italy'],['itali']
FLIGHTS,['flights'],['flight']
India,['india'],['india']
FLIGHTS,['flights'],['flight']
United,['united'],['unit']
Kingdom,['kingdom'],['kingdom']
FLIGHTS,['flights'],['flight']
Thailand,['thailand'],['thailand']
FLIGHTS,['flights'],['flight']
Mexico,['mexico'],['mexico']
FLIGHTS,['flights'],['flight']
France,['france'],['franc']
FLIGHTS,['flights'],['flight']
Germany,['germany'],['germani']
FLIGHTS,['flights'],['flight']
Japan,['japan'],['japan']
FLIGHTS,['flights'],['flight']
Philippines,['philippines'],['philippin']
FLIGHTS,['flights'],['flight']
Türkiye,['türkiye'],['türkiy']
FLIGHTS,['flights'],['flight']
Canada,['canada'],['canada']
FLIGHTS,['flights'],['flight']
Greece,['greece'],['greec']
FLIGHTS,['flights'],['flight']
Portugal,['portugal'],['portug']
FLIGHTS,['flights'],['flight']
Denmark,['denmark'],['denmark']
FLIGHTS,['flights'],['flight']
United,['united'],['unit']
Arab,['arab'],['arab']
Emirates,['emirates'],['emir']
FLIGHTS,['flights'],['flight']
Vietnam,['vietnam'],['vietnam']
FLIGHTS,['flights'],['flight']
China,['china'],['china']
FLIGHTS,['flights'],['flight']
Sweden,['sweden'],['sweden']
FLIGHTS,['flights'],['flight']
Indonesia,['indonesia'],['indonesia']
FLIGHTS,['flights'],['flight']
Netherlands,['netherlands'],['netherland']
FLIGHTS,['flights'],['flight']
Morocco,['morocco'],['morocco']
FLIGHTS,['flights'],['flight']
Colombia,['colombia'],['colombia']
FLIGHTS,['flights'],['flight']
Egypt,['egypt'],['egypt']
Flight,['flight'],['flight']
deals,['deals'],['deal']
destinationFind,['destinationfind'],['destinationfind']
compare,['compare'],['compar']
cheap,['cheap'],['cheap']
flightsWe,['flightswe'],['flightsw']
search,['search'],['search']
compare,['compare'],['compar']
billions,['billions'],['billion']
real-time,['real-time'],['realtim']
prices,['prices'],['price']
plane,['plane'],['plane']
tickets,['tickets'],['ticket']
easily,['easily'],['easili']
find,['find'],['find']
"cheapest,",['cheapest'],['cheapest']
"quickest,",['quickest'],['quickest']
best,['best'],['best']
flight,['flight'],['flight']
deals,['deals'],['deal']
you.New,['you.new'],['younew']
YorkFlights,['yorkflights'],['yorkflight']
Los,['los'],['lo']
Angeles,['angeles'],['angel']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
San,['san'],['san']
Francisco,['francisco'],['francisco']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Dallas,['dallas'],['dalla']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Fort,['fort'],['fort']
Lauderdale,['lauderdale'],['lauderdal']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Miami,['miami'],['miami']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Orlando,['orlando'],['orlando']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Atlanta,['atlanta'],['atlanta']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Ontario,['ontario'],['ontario']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Chicago,['chicago'],['chicago']
New,['new'],['new']
YorkFlights,['yorkflights'],['yorkflight']
Burbank,['burbank'],['burbank']
New,['new'],['new']
YorkBangkokFlights,['yorkbangkokflights'],['yorkbangkokflight']
Los,['los'],['lo']
Angeles,['angeles'],['angel']
BangkokFlights,['bangkokflights'],['bangkokflight']
New,['new'],['new']
York,['york'],['york']
BangkokFlights,['bangkokflights'],['bangkokflight']
San,['san'],['san']
Francisco,['francisco'],['francisco']
BangkokFlights,['bangkokflights'],['bangkokflight']
Chicago,['chicago'],['chicago']
BangkokFlights,['bangkokflights'],['bangkokflight']
Dallas,['dallas'],['dalla']
BangkokFlights,['bangkokflights'],['bangkokflight']
Ontario,['ontario'],['ontario']
BangkokFlights,['bangkokflights'],['bangkokflight']
Seattle,['seattle'],['seattl']
BangkokFlights,['bangkokflights'],['bangkokflight']
"Washington,",['washington'],['washington']
D.C.,['d.c'],['dc']
BangkokFlights,['bangkokflights'],['bangkokflight']
Houston,['houston'],['houston']
BangkokFlights,['bangkokflights'],['bangkokflight']
Boston,['boston'],['boston']
BangkokMiamiFlights,['bangkokmiamiflights'],['bangkokmiamiflight']
New,['new'],['new']
York,['york'],['york']
MiamiFlights,['miamiflights'],['miamiflight']
Boston,['boston'],['boston']
MiamiFlights,['miamiflights'],['miamiflight']
Los,['los'],['lo']
Angeles,['angeles'],['angel']
