Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
Cheap,['cheap'],['cheap']
car,['car'],['car']
rental:,['rental'],['rental']
Compare,['compare'],['compar']
"deals,",['deals'],['deal']
"models,",['models'],['model']
Booking.com,['booking.com'],['bookingcom']
Skip,['skip'],['skip']
main,['main'],['main']
content,['content'],['content']
USD,['usd'],['usd']
Choose,['choose'],['choos']
currency.,['currency'],['currenc']
current,['current'],['current']
currency,['currency'],['currenc']
U.S.,['u.s'],['us']
Dollar,['dollar'],['dollar']
Choose,['choose'],['choos']
language.,['language'],['languag']
current,['current'],['current']
language,['language'],['languag']
English,['english'],['english']
(US),['us'],['us']
Get,['get'],['get']
help,['help'],['help']
reservation,['reservation'],['reserv']
Manage,['manage'],['manag']
booking,['booking'],['book']
Register,['register'],['regist']
Sign,['sign'],['sign']
Stays,['stays'],['stay']
Flights,['flights'],['flight']
Flight,['flight'],['flight']
Hotel,['hotel'],['hotel']
Car,['car'],['car']
rentals,['rentals'],['rental']
Attractions,['attractions'],['attract']
Airport,['airport'],['airport']
taxis,['taxis'],['taxi']
Car,['car'],['car']
rentals,['rentals'],['rental']
kind,['kind'],['kind']
tripGreat,['tripgreat'],['tripgreat']
deals,['deals'],['deal']
great,['great'],['great']
"prices,",['prices'],['price']
biggest,['biggest'],['biggest']
car,['car'],['car']
rental,['rental'],['rental']
companiesPopular,['companiespopular'],['companiespopular']
rental,['rental'],['rental']
car,['car'],['car']
companiesDollarBudgetFoxAlamoAvisSixtThriftyHertz,['companiesdollarbudgetfoxalamoavissixtthriftyhertz'],['companiesdollarbudgetfoxalamoavissixtthriftyhertz']
PP,['pp'],['pp']
DomesticEnterpriseSign,['domesticenterprisesign'],['domesticenterprisesign']
save,['save'],['save']
GeniusYou're,"['geniusyou', ""'re""]",['geniusyour']
eligible,['eligible'],['elig']
discounts,['discounts'],['discount']
select,['select'],['select']
car,['car'],['car']
rentals.Sign,['rentals.sign'],['rentalssign']
nowWe’re,"['nowwe', '’']",['nowwer']
youProviding,['youproviding'],['youprovid']
customer,['customer'],['custom']
support,['support'],['support']
languagesFree,['languagesfree'],['languagesfre']
cancellationOn,['cancellationon'],['cancellationon']
"bookings,",['bookings'],['book']
hours,['hours'],['hour']
million+,['million+'],['million']
reviewsBy,['reviewsby'],['reviewsbi']
verified,['verified'],['verifi']
customersFrequently,['customersfrequently'],['customersfrequ']
asked,['asked'],['ask']
questionsHow,['questionshow'],['questionshow']
much,['much'],['much']
cost,['cost'],['cost']
rent,['rent'],['rent']
car,['car'],['car']
United,['united'],['unit']
States,['states'],['state']
week?Based,"['week', 'based']",['weekbas']
average,['average'],['averag']
daily,['daily'],['daili']
cost,['cost'],['cost']
week,['week'],['week']
cost,['cost'],['cost']
much,['much'],['much']
cost,['cost'],['cost']
rent,['rent'],['rent']
car,['car'],['car']
United,['united'],['unit']
States,['states'],['state']
month?Based,"['month', 'based']",['monthbas']
average,['average'],['averag']
daily,['daily'],['daili']
cost,['cost'],['cost']
month,['month'],['month']
cost,['cost'],['cost']
car,['car'],['car']
people,['people'],['peopl']
usually,['usually'],['usual']
book,['book'],['book']
United,['united'],['unit']
States?Premium,"['states', 'premium']",['statespremium']
popular,['popular'],['popular']
car,['car'],['car']
group,['group'],['group']
rent,['rent'],['rent']
United,['united'],['unit']
"States,",['states'],['state']
followed,['followed'],['follow']
SUV,['suv'],['suv']
medium.How,['medium.how'],['mediumhow']
much,['much'],['much']
cost,['cost'],['cost']
rent,['rent'],['rent']
premium,['premium'],['premium']
car,['car'],['car']
United,['united'],['unit']
States?On,['states'],['stateson']
"average,",['average'],['averag']
renting,['renting'],['rent']
Premium,['premium'],['premium']
car,['car'],['car']
United,['united'],['unit']
States,['states'],['state']
costs,['costs'],['cost']
day.How,['day.how'],['dayhow']
much,['much'],['much']
cost,['cost'],['cost']
rent,['rent'],['rent']
SUV,['suv'],['suv']
United,['united'],['unit']
States?On,['states'],['stateson']
"average,",['average'],['averag']
renting,['renting'],['rent']
SUV,['suv'],['suv']
United,['united'],['unit']
States,['states'],['state']
costs,['costs'],['cost']
day.How,['day.how'],['dayhow']
much,['much'],['much']
cost,['cost'],['cost']
rent,['rent'],['rent']
medium,['medium'],['medium']
car,['car'],['car']
United,['united'],['unit']
States?On,['states'],['stateson']
"average,",['average'],['averag']
renting,['renting'],['rent']
Medium,['medium'],['medium']
car,['car'],['car']
United,['united'],['unit']
States,['states'],['state']
costs,['costs'],['cost']
day.What,['day.what'],['daywhat']
car,['car'],['car']
rental,['rental'],['rental']
companies,['companies'],['compani']
available,['available'],['avail']
United,['united'],['unit']
States?Based,"['states', 'based']",['statesbas']
"bookings,",['bookings'],['book']
car,['car'],['car']
rental,['rental'],['rental']
companies,['companies'],['compani']
available,['available'],['avail']
United,['united'],['unit']
"States,",['states'],['state']
including:DollarBudgetFoxWhich,"['including', 'dollarbudgetfoxwhich']",['includingdollarbudgetfoxwhich']
companies,['companies'],['compani']
offer,['offer'],['offer']
cheapest,['cheapest'],['cheapest']
car,['car'],['car']
rates,['rates'],['rate']
United,['united'],['unit']
States?In,['states'],['statesin']
past,['past'],['past']
"months,",['months'],['month']
rental,['rental'],['rental']
companies,['companies'],['compani']
offering,['offering'],['offer']
cheapest,['cheapest'],['cheapest']
rates,['rates'],['rate']
premium,['premium'],['premium']
car,['car'],['car']
site:TargetRent,"['site', 'targetrent']",['sitetargetr']
average,['average'],['averag']
daily,['daily'],['daili']
price,['price'],['price']
Advantage,['advantage'],['advantag']
average,['average'],['averag']
daily,['daily'],['daili']
price,['price'],['price']
Economy,['economy'],['economi']
average,['average'],['averag']
daily,['daily'],['daili']
price,['price'],['price']
pick-up,['pick-up'],['pickup']
locations,['locations'],['locat']
United,['united'],['unit']
States,['states'],['state']
popular?Our,['popular'],['popularour']
users,['users'],['user']
often,['often'],['often']
pick,['pick'],['pick']
car,['car'],['car']
locations:OrlandoOrlando,"['locations', 'orlandoorlando']",['locationsorlandoorlando']
International,['international'],['intern']
AirportEl,['airportel'],['airportel']
SegundoCan,['segundocan'],['segundocan']
pick,['pick'],['pick']
car,['car'],['car']
one,['one'],['one']
location,['location'],['locat']
return,['return'],['return']
different,['different'],['differ']
one,['one'],['one']
United,['united'],['unit']
States?It's,"['states', ""'s""]",['statesit']
usually,['usually'],['usual']
possible,['possible'],['possibl']
return,['return'],['return']
rental,['rental'],['rental']
cars,['cars'],['car']
different,['different'],['differ']
"location,",['location'],['locat']
depends,['depends'],['depend']
company’s,"['company', '’']",['compani']
policy,['policy'],['polici']
might,['might'],['might']
cost,['cost'],['cost']
extra.,['extra'],['extra']
popular,['popular'],['popular']
brands,['brands'],['brand']
United,['united'],['unit']
States,['states'],['state']
allow,['allow'],['allow']
one-way,['one-way'],['oneway']
rentals,['rentals'],['rental']
"Avis,",['avis'],['avi']
RC,['rc'],['rc']
"Budget,",['budget'],['budget']
Budget.Why,['budget.why'],['budgetwhi']
book,['book'],['book']
car,['car'],['car']
rental,['rental'],['rental']
United,['united'],['unit']
States,['states'],['state']
Booking.com?We,['booking.com'],['bookingcomw']
make,['make'],['make']
easy,['easy'],['easi']
