Webpage,Preprocessed_Text,Preprocessed_Document
Content,['content'],['content']
best,['best'],['best']
Hong,['hong'],['hong']
Kong,['kong'],['kong']
tours,['tours'],['tour']
tickets,['tickets'],['ticket']
Trip.comHotelsFlightsTrainsCarsCar,['trip.comhotelsflightstrainscarscar'],['tripcomhotelsflightstrainscarscar']
RentalsAirport,['rentalsairport'],['rentalsairport']
TransfersAttractions,['transfersattractions'],['transfersattract']
ToursBundle,['toursbundle'],['toursbundl']
SaveCruisesCustom,['savecruisescustom'],['savecruisescustom']
TripsDestinationsTrip.com,['tripsdestinationstrip.com'],['tripsdestinationstripcom']
RewardsDealsAppHelpUSDSearch,['rewardsdealsapphelpusdsearch'],['rewardsdealsapphelpusdsearch']
BookingsHome>Local,"['bookingshome', 'local']",['bookingshomeloc']
Experiences,['experiences'],['experi']
Hong,['hong'],['hong']
Kong>Search,"['kong', 'search']",['kongsearch']
ResultsDestinationKeywords,['resultsdestinationkeywords'],['resultsdestinationkeyword']
(optional),['optional'],['option']
activity,['activity'],['activ']
foundLocal,['foundlocal'],['foundloc']
RecommendationsAttractions,['recommendationsattractions'],['recommendationsattract']
ShowsSai,['showssai'],['showssai']
Kung,['kung'],['kung']
Seafood,['seafood'],['seafood']
Street|Seafood,['street|seafood'],['streetseafood']
Street|Hung,['street|hung'],['streethung']
Shing,['shing'],['shing']
Temple|Sai,['temple|sai'],['templesai']
Kung|Temple,['kung|temple'],['kungtempl']
Street,['street'],['street']
Night,['night'],['night']
Market|Jardine,['market|jardine'],['marketjardin']
Noonday,['noonday'],['noonday']
Gun|Tai,['gun|tai'],['guntai']
Wai,['wai'],['wai']
Village|Murray,['village|murray'],['villagemurray']
IU,['iu'],['iu']
WORLD,['world'],['world']
TOUR,['tour'],['tour']
CONCERT,['concert'],['concert']
HONG,['hong'],['hong']
KONG|Southorn,['kong|southorn'],['kongsouthorn']
Playground|Wah,['playground|wah'],['playgroundwah']
Fu,['fu'],['fu']
Estate|Hong,['estate|hong'],['estatehong']
Kong,['kong'],['kong']
Racing,['racing'],['race']
Museum|Tsang,['museum|tsang'],['museumtsang']
Tai,['tai'],['tai']
Uk|Sai,['uk|sai'],['uksai']
Kung,['kung'],['kung']
East,['east'],['east']
Country,['country'],['countri']
Park|Lan,['park|lan'],['parklan']
Kwai,['kwai'],['kwai']
Fong|Diocesan,['fong|diocesan'],['fongdiocesan']
Girls',['girls'],['girl']
School|Ancient,['school|ancient'],['schoolanci']
Gatehouse,['gatehouse'],['gatehous']
Shuqing,['shuqing'],['shuqe']
Bookroom|Yu,['bookroom|yu'],['bookroomyu']
Kiu,['kiu'],['kiu']
Ancestral,['ancestral'],['ancestr']
Hall|Ho,['hall|ho'],['hallho']
Pui,['pui'],['pui']
Reservoir,['reservoir'],['reservoir']
Family,['family'],['famili']
Walk|Western,['walk|western'],['walkwestern']
Monastery|Ringing,['monastery|ringing'],['monasteryring']
Bell,['bell'],['bell']
Rock,['rock'],['rock']
(叮噹石)|Wong,"['叮噹石', '|wong']",['叮噹石wong']
Nai,['nai'],['nai']
Chung,['chung'],['chung']
Sports,['sports'],['sport']
Centre|Tai,['centre|tai'],['centretai']
Shek,['shek'],['shek']
