Webpage,Preprocessed_Text,Preprocessed_Document
"Benagalbón,",['benagalbón'],['benagalbón']
Spain,['spain'],['spain']
vacation,['vacation'],['vacat']
"rentals,",['rentals'],['rental']
beach,['beach'],['beach']
"rentals,",['rentals'],['rental']
cottages,['cottages'],['cottag']
"Sirkka,",['sirkka'],['sirkka']
Finland,['finland'],['finland']
"cottages,",['cottages'],['cottag']
vacation,['vacation'],['vacat']
"rentals,",['rentals'],['rental']
cabins,['cabins'],['cabin']
"Dittishausen,",['dittishausen'],['dittishausen']
Germany,['germany'],['germani']
vacation,['vacation'],['vacat']
"rentals,",['rentals'],['rental']
cottages,['cottages'],['cottag']
"Loborika,",['loborika'],['loborika']
Croatia,['croatia'],['croatia']
vacation,['vacation'],['vacat']
"rentals,",['rentals'],['rental']
cottages,['cottages'],['cottag']
Bangkok,['bangkok'],['bangkok']
hotels,['hotels'],['hotel']
York,['york'],['york']
hotels,['hotels'],['hotel']
Newcastle,['newcastle'],['newcastl']
upon,['upon'],['upon']
Tyne,['tyne'],['tyne']
hotels,['hotels'],['hotel']
Manchester,['manchester'],['manchest']
hotels,['hotels'],['hotel']
London,['london'],['london']
hotels,['hotels'],['hotel']
Liverpool,['liverpool'],['liverpool']
hotels,['hotels'],['hotel']
Leeds,['leeds'],['leed']
hotels,['hotels'],['hotel']
Glasgow,['glasgow'],['glasgow']
hotels,['hotels'],['hotel']
Edinburgh,['edinburgh'],['edinburgh']
hotels,['hotels'],['hotel']
Carbis,['carbis'],['carbi']
Bay,['bay'],['bay']
hotels,['hotels'],['hotel']
Brighton,['brighton'],['brighton']
Hove,['hove'],['hove']
hotels,['hotels'],['hotel']
Bournemouth,['bournemouth'],['bournemouth']
hotels,['hotels'],['hotel']
Blackpool,['blackpool'],['blackpool']
hotels,['hotels'],['hotel']
Birmingham,['birmingham'],['birmingham']
hotels,['hotels'],['hotel']
Stockholm,['stockholm'],['stockholm']
hotels,['hotels'],['hotel']
Manila,['manila'],['manila']
